order_id,order_date,customer_name,product_name,quantity,unit_price,updated_at
1101,2026-03-04,Choi,Printer,5,148000,2026-03-04 20:36:50
1102,2026-01-11,Oh,Microphone,4,75000,2026-01-11 13:04:32
1103,2026-06-15,Han,Keyboard,4,31000,2026-06-15 09:27:23
1104,2026-06-12,Kwon,Headset,4,59000,2026-06-12 19:33:41
1105,2026-03-11,Jeon,Microphone,4,71000,2026-03-11 14:52:46
1106,2026-06-01,Jang,Router,2,53000,2026-06-01 12:56:28
1107,2026-03-04,Kwon,Graphics Card,5,505000,2026-03-04 14:21:01
1108,2026-05-07,Han,USB Hub,4,11000,2026-05-07 13:51:16
1109,2026-03-29,Jang,RAM 16GB,3,67000,2026-03-29 08:33:12
1110,2026-01-22,Yoon,Desk,4,302000,2026-01-22 20:15:44
1111,2026-05-02,Hwang,Tablet,1,448000,2026-05-02 12:14:25
1112,2026-06-27,Yoon,Printer,5,150000,2026-06-27 15:35:33
1113,2026-03-30,Shin,Microphone,3,70000,2026-03-30 19:29:17
1114,2026-03-20,Jang,Desk Lamp,1,25000,2026-03-20 11:20:07
1115,2026-07-10,Song,USB Hub,2,11000,2026-07-10 19:30:17
1116,2026-07-05,Ryu,Power Strip,5,10000,2026-07-05 09:53:12
1117,2026-03-17,Yoon,Speaker,2,40000,2026-03-17 08:45:34
1118,2026-02-02,Jang,Mouse,1,17000,2026-02-02 12:44:08
1119,2026-06-13,Hwang,Webcam,1,47000,2026-06-13 12:30:30
1120,2026-04-23,Han,USB Hub,1,12000,2026-04-23 15:07:52
1121,2026-01-17,Seo,Charger,1,20000,2026-01-17 18:43:03
1122,2026-02-08,Jung,Graphics Card,3,498000,2026-02-08 11:07:35
1123,2026-04-17,Jeon,RAM 16GB,5,64000,2026-04-17 20:33:24
1124,2026-04-26,Kwon,Printer,5,151000,2026-04-26 12:36:39
1125,2026-01-16,Jeon,Webcam,2,50000,2026-01-16 11:16:42
1126,2026-01-21,Kang,Desk Lamp,2,22000,2026-01-21 09:10:00
1127,2026-04-15,Kwon,RAM 16GB,4,65000,2026-04-15 08:14:18
1128,2026-06-30,Lim,Tablet,1,455000,2026-06-30 11:59:16
1129,2026-06-10,Ryu,Laptop Stand,4,23000,2026-06-10 16:14:41
1130,2026-02-08,Jang,Headset,1,58000,2026-02-08 10:50:19
1131,2026-06-02,Ryu,Printer,4,148000,2026-06-02 15:44:19
1132,2026-06-29,Seo,External SSD,5,92000,2026-06-29 15:28:05
1133,2026-06-03,Lee,Desk,3,302000,2026-06-03 12:01:05
1134,2026-02-28,Ryu,Graphics Card,1,505000,2026-02-28 12:36:02
1135,2026-02-14,Hwang,Power Strip,4,10000,2026-02-14 10:37:27
1136,2026-06-12,Hwang,Monitor,4,180000,2026-06-12 14:21:20
1137,2026-06-21,Choi,USB Hub,3,13000,2026-06-21 19:31:18
1138,2026-06-19,Seo,Microphone,1,71000,2026-06-19 09:20:16
1139,2026-03-24,Choi,Chair,5,218000,2026-03-24 18:55:34
1140,2026-04-29,Shin,Mouse,2,17000,2026-04-29 13:39:48
1141,2026-05-08,Kwon,Mouse,2,15000,2026-05-08 16:08:59
1142,2026-03-15,Kwon,Charger,1,16000,2026-03-15 18:38:51
1143,2026-03-03,Kang,Printer,5,148000,2026-03-03 16:26:05
1144,2026-02-27,Choi,Tablet,1,455000,2026-02-27 10:31:59
1145,2026-07-03,Lim,Power Strip,3,11000,2026-07-03 15:30:15
1146,2026-04-27,Song,Headset,4,59000,2026-04-27 17:32:47
1147,2026-02-04,Park,External SSD,4,90000,2026-02-04 20:32:17
1148,2026-01-01,Lim,Printer,5,152000,2026-01-01 18:31:55
1149,2026-02-08,Kwon,Microphone,4,70000,2026-02-08 13:35:48
1150,2026-05-20,Seo,Tablet,3,449000,2026-05-20 19:15:36
1151,2026-04-09,Yoon,Desk,1,300000,2026-04-09 19:30:45
1152,2026-04-08,Seo,Headset,4,58000,2026-04-08 10:32:37
1153,2026-03-26,Choi,Tablet,1,452000,2026-03-26 15:00:46
1154,2026-02-06,Shin,Headset,1,61000,2026-02-06 20:16:21
1155,2026-06-09,Seo,Monitor,3,185000,2026-06-09 16:24:20
1156,2026-06-10,Hwang,Microphone,1,72000,2026-06-10 09:15:40
1157,2026-06-25,Lim,Desk Lamp,1,21000,2026-06-25 09:48:40
1158,2026-06-30,Choi,Tablet,2,455000,2026-06-30 12:57:01
1159,2026-01-12,Han,Mouse,3,15000,2026-01-12 13:27:09
1160,2026-03-04,Ahn,Desk,5,305000,2026-03-04 20:11:10
1161,2026-02-14,Park,RAM 16GB,4,67000,2026-02-14 18:15:31
1162,2026-05-30,Jung,Desk Lamp,4,25000,2026-05-30 12:29:16
1163,2026-06-20,Kim,Tablet,3,455000,2026-06-20 16:10:04
1164,2026-04-24,Oh,Graphics Card,3,505000,2026-04-24 14:44:16
1165,2026-04-27,Lim,Laptop Stand,4,26000,2026-04-27 09:15:24
1166,2026-05-27,Oh,Graphics Card,3,505000,2026-05-27 12:01:53
1167,2026-06-18,Seo,External SSD,1,92000,2026-06-18 18:49:47
1168,2026-01-13,Jeon,Charger,3,17000,2026-01-13 17:51:22
1169,2026-02-26,Cho,RAM 16GB,3,70000,2026-02-26 20:46:49
1170,2026-06-18,Jung,Webcam,1,45000,2026-06-18 20:28:02
1171,2026-05-29,Oh,Headset,1,60000,2026-05-29 13:47:26
1172,2026-02-14,Cho,Headset,5,60000,2026-02-14 16:32:58
1173,2026-03-11,Kang,External SSD,4,90000,2026-03-11 19:55:21
1174,2026-01-30,Kwon,Monitor,2,179000,2026-01-30 18:46:43
1175,2026-04-12,Song,Speaker,1,41000,2026-04-12 08:16:34
1176,2026-02-01,Kwon,Speaker,3,42000,2026-02-01 14:52:40
1177,2026-04-06,Choi,Desk Lamp,4,18000,2026-04-06 17:56:35
1178,2026-03-25,Jeon,Desk Lamp,1,25000,2026-03-25 15:58:44
1179,2026-03-19,Shin,Webcam,2,43000,2026-03-19 08:19:31
1180,2026-01-30,Choi,Desk Lamp,5,19000,2026-01-30 14:29:23
1181,2026-06-21,Song,Desk,5,305000,2026-06-21 19:09:56
1182,2026-04-17,Choi,Charger,5,19000,2026-04-17 12:02:44
1183,2026-04-05,Cho,Tablet,4,449000,2026-04-05 13:06:43
1184,2026-04-05,Song,Speaker,1,41000,2026-04-05 12:12:07
1185,2026-04-27,Park,Laptop Stand,5,23000,2026-04-27 08:50:21
1186,2026-03-04,Jung,Graphics Card,2,498000,2026-03-04 20:35:13
1187,2026-05-31,Cho,Desk Lamp,3,19000,2026-05-31 20:57:38
1188,2026-01-01,Jang,Headset,2,62000,2026-01-01 12:51:11
1189,2026-01-29,Kim,Headset,1,60000,2026-01-29 20:50:15
1190,2026-05-31,Han,Keyboard,2,30000,2026-05-31 08:08:47
1191,2026-04-18,Ahn,Webcam,1,46000,2026-04-18 15:49:23
1192,2026-05-12,Ryu,Webcam,4,47000,2026-05-12 11:39:02
1193,2026-07-06,Ahn,Printer,4,155000,2026-07-06 08:03:30
1194,2026-04-13,Shin,Webcam,4,50000,2026-04-13 15:04:57
1195,2026-01-21,Han,RAM 16GB,2,63000,2026-01-21 10:17:39
1196,2026-06-12,Ryu,Microphone,3,71000,2026-06-12 17:33:18
1197,2026-04-27,Ahn,RAM 16GB,4,63000,2026-04-27 20:44:07
1198,2026-06-17,Song,Laptop Stand,4,26000,2026-06-17 11:26:21
1199,2026-04-27,Seo,Desk,1,300000,2026-04-27 14:20:42
1200,2026-03-07,Oh,Headset,4,58000,2026-03-07 09:53:05
